title,author,length
80. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
81. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
82. Things We Left Behind,By: Lucy Score,Length: 19 hrs and 14 mins
83. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
84. Things We Never Got Over,By: Lucy Score,Length: 16 hrs and 1 min
85. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
86. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
87. His Majesty's Airship,By: S. C. Gwynne,Length: 9 hrs and 5 mins
88. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
89. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
90. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
91. Forever Strong,By: Dr. Gabrielle Lyon,Length: 9 hrs and 45 mins
92. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
93. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
94. All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
95. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
96. The Alchemist,By: Paulo Coelho,Length: 4 hrs
97. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
98. Starling House,By: Alix E. Harrow,Length: 12 hrs and 26 mins
99. Mother-Daughter Murder Night,By: Nina Simon,Length: 12 hrs and 38 mins
100. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
