title,author,length
"78. Read People like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",By: Patrick King,Length: 4 hrs and 40 mins
79. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
80. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
"81. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
82. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
83. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
84. 8 Rules of Love,By: Jay Shetty,Length: 10 hrs and 21 mins
85. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
86. Starter Villain,By: John Scalzi,Length: 8 hrs and 5 mins
87. Hunting Adeline,By: H. D. Carlton,Length: 17 hrs and 24 mins
88. The Olympian Affair,By: Jim Butcher,Length: 20 hrs and 23 mins
89. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
90. The 4-Hour Body,By: Timothy Ferriss,Length: 3 hrs and 51 mins
91. If You Would Have Told Me,By: John Stamos,Length: 8 hrs and 44 mins
92. The Primal Hunter 7 - A LitRPG Adventure,By: Zogarth,Length: 17 hrs and 49 mins
93. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
94. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
95. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
96. Pretty Boys Are Poisonous,By: Megan Fox,Length: 38 mins
97. Thesaurize,By: Dakota Krout,Length: 11 hrs and 40 mins
98. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
99. Going Infinite,By: Michael Lewis,Length: 8 hrs and 56 mins
100. The End and the Death: Volume II,By: Dan Abnett,Length: 18 hrs and 30 mins
